"frame","zeit","metrisch_freigegeben","spieler_innen","spieler_aussen","ball","bewertung","notiz"
"0","00:00","1","6","23","kein Balltrack","ok",""
"2794","01:33","1","7","19","kein Balltrack","ok",""
"5574","03:05","1","10","10","Ball innen","bad","das feld endet nicht in der mitte sondern geht ganz rüber, ein spieler ist außerhalb des gelben feldes. Auch wenn das die richtige mittellinie ist auf dem frame, geht das feld ja auch pber die mittellinie raus"
"8382","04:39","1","7","7","kein Balltrack","ok",""
"11177","06:12","1","6","6","Ball innen","ok",""
"13972","07:45","1","10","7","kein Balltrack","ok",""
"16766","09:18","1","8","10","kein Balltrack","ok",""
"19560","10:52","1","12","2","kein Balltrack","ok",""
"22355","12:25","1","11","6","kein Balltrack","ok",""
"23150","12:51","1","13","7","kein Balltrack","ok",""
"23320","12:57","0","5","2","kein Balltrack","ok",""
"23620","13:07","1","8","1","Ball innen","ok",""
"25149","13:58","1","8","4","kein Balltrack","bad","der spieler der rehcts außen nicht mehr drin ist, ist korrekterweise nicht im feld, macht aber nur einwurf "